percentagee,amount,time
1.81,1958.35,1582607051876
1.82,1958.60,1582607054879
1.84,1958.95,1582607057874
1.87,1959.50,1582607061844
1.84,1958.95,1582607064805
1.89,1959.85,1582607066877
1.86,1959.20,1582607070843
1.89,1959.80,1582607072873
1.86,1959.25,1582607076808
1.86,1959.25,1582607079840
1.86,1959.25,1582607082843
1.88,1959.60,1582607085804
1.90,1960.00,1582607088839
1.88,1959.60,1582607091798
1.90,1960.00,1582607093978
1.86,1959.30,1582607097825
1.89,1959.90,1582607100822
1.89,1959.90,1582607103825
1.89,1959.90,1582607106801
1.86,1959.35,1582607109840
1.90,1960.00,1582607112801
1.85,1959.00,1582607115809
1.85,1959.00,1582607118820
1.88,1959.65,1582607121817
1.88,1959.70,1582607124796
1.90,1960.00,1582607127817
1.90,1960.00,1582607130840
1.88,1959.70,1582607133803
1.88,1959.65,1582607136801
1.88,1959.65,1582607139839
1.88,1959.70,1582607142840
1.89,1959.90,1582607145802
1.88,1959.65,1582607148800
1.88,1959.65,1582607151816
1.89,1959.85,1582607154838
1.89,1959.80,1582607157801
1.89,1959.90,1582607160839
1.89,1959.90,1582607163837
1.89,1959.90,1582607166795
1.89,1959.90,1582607169824
1.88,1959.60,1582607172839
1.88,1959.60,1582607175838
1.85,1959.00,1582607178840
1.85,1959.00,1582607181838
1.84,1958.95,1582607184801
1.85,1959.00,1582607187839
1.81,1958.30,1582607190834
1.80,1958.20,1582607193839
1.81,1958.35,1582607196821
1.83,1958.75,1582607199838
1.81,1958.40,1582607202831
1.81,1958.40,1582607205837
1.82,1958.50,1582607208798
1.85,1959.00,1582607211838
1.82,1958.50,1582607214836
1.80,1958.20,1582607217800
1.82,1958.50,1582607220811
1.80,1958.20,1582607223836
1.82,1958.50,1582607226800
1.80,1958.20,1582607229810
1.82,1958.50,1582607232837
1.82,1958.50,1582607235809
1.82,1958.50,1582607238800
1.81,1958.30,1582607241802
1.84,1958.80,1582607244836
1.82,1958.50,1582607247836
1.85,1959.00,1582607250831
1.81,1958.25,1582607253837
1.81,1958.25,1582607256797
1.79,1958.00,1582607259826
1.79,1957.95,1582607262830
1.79,1957.95,1582607265834
1.79,1958.00,1582607268808
1.80,1958.20,1582607271830
1.75,1957.25,1582607274792
1.75,1957.25,1582607277798
1.80,1958.20,1582607280799
1.82,1958.50,1582607283834
1.78,1957.75,1582607286836
1.82,1958.50,1582607289802
1.79,1958.00,1582607292835
1.79,1958.00,1582607295826
1.77,1957.55,1582607298835
1.73,1956.85,1582607301835
1.74,1956.95,1582607304835
1.74,1957.00,1582607307797
1.74,1956.95,1582607310813
1.74,1957.00,1582607313835
1.74,1956.95,1582607316820
1.74,1957.00,1582607319832
1.76,1957.35,1582607322835
1.72,1956.50,1582607325834
1.75,1957.10,1582607328818
1.76,1957.35,1582607331809
1.76,1957.35,1582607334820
1.74,1957.00,1582607337833
1.74,1957.00,1582607340834
1.74,1957.00,1582607343833
1.73,1956.80,1582607346832
1.76,1957.35,1582607349834
1.71,1956.45,1582607352809
1.73,1956.80,1582607355834
1.73,1956.85,1582607358805
1.74,1956.90,1582607361831
1.74,1956.90,1582607364821
1.74,1957.00,1582607367825
1.76,1957.35,1582607370833
1.74,1957.00,1582607373789
1.74,1957.00,1582607376828
1.74,1957.00,1582607379833
1.74,1957.00,1582607382802
1.75,1957.10,1582607385803
1.74,1957.00,1582607388832
1.75,1957.25,1582607391832
1.76,1957.30,1582607394832
1.76,1957.35,1582607397833
1.76,1957.35,1582607400825
1.79,1957.85,1582607403832
1.74,1957.00,1582607406831
1.74,1957.00,1582607409811
1.69,1956.00,1582607412794
1.71,1956.45,1582607415832
1.66,1955.50,1582607418819
1.69,1956.00,1582607421832
1.74,1956.90,1582607424793
1.74,1956.90,1582607427830
1.69,1956.10,1582607430806
1.69,1956.10,1582607433831
1.69,1956.10,1582607436831
1.69,1956.00,1582607439789
1.73,1956.70,1582607442831
1.69,1956.00,1582607445814
1.74,1956.90,1582607448815
1.74,1956.90,1582607451786
1.72,1956.50,1582607453862
1.72,1956.50,1582607456865
1.73,1956.85,1582607459862
1.69,1956.10,1582607462865
1.69,1956.00,1582607466825
1.72,1956.50,1582607469815
1.72,1956.50,1582607472794
1.73,1956.80,1582607475798
1.73,1956.80,1582607478791
1.73,1956.80,1582607481830
1.73,1956.80,1582607484791
1.73,1956.80,1582607487829
1.72,1956.50,1582607490830
1.73,1956.70,1582607493826
1.71,1956.45,1582607496827
1.72,1956.50,1582607499785
1.71,1956.40,1582607502828
1.69,1956.00,1582607505803
1.71,1956.40,1582607508798
1.73,1956.70,1582607511826
1.72,1956.50,1582607514789
1.73,1956.75,1582607517812
1.73,1956.75,1582607520791
1.73,1956.70,1582607523788
1.71,1956.40,1582607526296
1.72,1956.50,1582607529791
1.72,1956.50,1582607532789
1.72,1956.50,1582607535820
1.73,1956.80,1582607538821
1.72,1956.55,1582607541823
1.70,1956.25,1582607544820
1.72,1956.50,1582607547826
1.70,1956.15,1582607550800
1.72,1956.50,1582607553794
1.82,1958.55,1582607556782
1.86,1959.25,1582607559825
1.80,1958.15,1582607562804
1.86,1959.20,1582607565824
1.84,1958.90,1582607568824
1.82,1958.50,1582607571781
1.84,1958.95,1582607574826
1.85,1959.15,1582607577823
1.92,1960.50,1582607580823
1.95,1961.00,1582607583803
1.95,1961.00,1582607586825
1.97,1961.40,1582607589824
1.95,1961.10,1582607592802
1.93,1960.65,1582607595824
1.89,1959.90,1582607598793
1.90,1960.00,1582607601796
1.89,1959.95,1582607604793
1.89,1959.95,1582607607826
1.88,1959.75,1582607610809
1.93,1960.55,1582607613823
1.90,1960.00,1582607616822
1.95,1960.95,1582607619786
1.90,1960.00,1582607622822
1.90,1960.00,1582607625821
1.95,1960.95,1582607628779
1.93,1960.60,1582607631818
1.90,1960.00,1582607634824
1.92,1960.40,1582607637809
1.94,1960.80,1582607640791
1.92,1960.40,1582607643819
1.92,1960.40,1582607646819
1.92,1960.40,1582607649820
1.92,1960.40,1582607652822
1.92,1960.40,1582607655820
1.99,1961.80,1582607658822
1.99,1961.75,1582607660860
1.96,1961.25,1582607664823
1.94,1960.90,1582607667780
1.85,1959.15,1582607670778
1.90,1960.00,1582607673823
1.90,1960.05,1582607676778
1.86,1959.20,1582607679821
1.95,1961.00,1582607682778
1.95,1961.00,1582607685821
1.98,1961.60,1582607688816
1.98,1961.65,1582607691780
1.98,1961.50,1582607694780
1.98,1961.50,1582607697816
1.94,1960.75,1582607700818
1.98,1961.50,1582607703817
1.98,1961.50,1582607706815
1.98,1961.60,1582607709784
1.97,1961.45,1582607712785
1.98,1961.50,1582607715777
2.01,1962.20,1582607718817
2.05,1963.00,1582607721817
2.05,1962.95,1582607724815
2.04,1962.75,1582607727814
2.11,1964.05,1582607730817
2.07,1963.30,1582607733783
2.05,1962.85,1582607736817
2.05,1963.00,1582607739817
2.12,1964.25,1582607742778
2.19,1965.55,1582607745804
2.16,1965.05,1582607748815
2.21,1966.00,1582607751816
2.19,1965.55,1582607754814
2.17,1965.20,1582607757815
2.20,1965.90,1582607760814
2.17,1965.30,1582607763781
2.16,1965.00,1582607766781
2.06,1963.10,1582607769814
2.10,1963.85,1582607772782
2.10,1963.80,1582607775816
2.06,1963.15,1582607778780
2.09,1963.70,1582607781813
2.10,1963.80,1582607784820
2.11,1964.10,1582607787815
2.09,1963.70,1582607790791
2.09,1963.70,1582607793813
2.08,1963.45,1582607796779
2.08,1963.55,1582607799815
2.09,1963.75,1582607802814
2.10,1963.90,1582607805814
2.08,1963.50,1582607808789
2.11,1964.05,1582607811814
2.11,1964.00,1582607814814
2.02,1962.30,1582607817814
2.07,1963.25,1582607820780
2.11,1964.00,1582607823799
2.11,1964.00,1582607826790
2.16,1965.00,1582607829776
2.12,1964.25,1582607832811
2.16,1965.05,1582607835799
2.12,1964.25,1582607838776
2.16,1965.00,1582607841815
2.16,1965.00,1582607844816
2.10,1963.85,1582607847815
2.14,1964.75,1582607850816
2.16,1965.00,1582607853774
2.14,1964.65,1582607856801
2.11,1964.00,1582607859814
2.16,1965.00,1582607862777
2.06,1963.10,1582607865777
2.10,1963.85,1582607868782
2.10,1963.85,1582607871778
2.10,1963.85,1582607874815
2.05,1963.00,1582607877815
2.08,1963.55,1582607880783
2.00,1962.00,1582607883776
2.00,1962.00,1582607886815
2.05,1962.95,1582607889808
2.03,1962.50,1582607892806
2.05,1963.00,1582607895773
2.00,1962.00,1582607898813
2.00,1962.00,1582607901780
2.00,1962.00,1582607904813
2.02,1962.45,1582607907813
2.03,1962.55,1582607910793
2.00,1961.95,1582607913809
2.03,1962.60,1582607916783
2.02,1962.45,1582607919814
2.03,1962.55,1582607922812
1.98,1961.60,1582607925813
2.00,1962.00,1582607928777
2.03,1962.55,1582607931815
2.00,1962.05,1582607934814
2.00,1962.05,1582607937815
2.00,1962.05,1582607940808
2.00,1962.00,1582607943813
2.00,1962.05,1582607946785
2.00,1961.90,1582607949792
2.00,1961.90,1582607952791
2.00,1961.90,1582607955779
1.98,1961.65,1582607958770
1.98,1961.60,1582607961784
2.00,1961.90,1582607964780
2.00,1961.90,1582607967794
1.98,1961.65,1582607970812
2.00,1961.90,1582607973776
1.98,1961.65,1582607976782
2.03,1962.60,1582607979792
2.00,1962.00,1582607982811
1.98,1961.65,1582607985811
2.02,1962.35,1582607988812
2.02,1962.40,1582607991811
2.02,1962.40,1582607994811
2.03,1962.60,1582607997811
2.02,1962.35,1582608000812
2.00,1962.00,1582608003811
2.03,1962.50,1582608006812
2.03,1962.55,1582608009811
2.03,1962.60,1582608012811
2.11,1964.00,1582608015812
2.08,1963.60,1582608018816
2.11,1964.00,1582608021811
2.08,1963.60,1582608024812
2.11,1964.15,1582608027768
2.11,1964.00,1582608030811
2.08,1963.60,1582608033810
2.03,1962.60,1582608036805
2.06,1963.20,1582608039808
2.05,1963.00,1582608042809
2.05,1963.00,1582608045768
2.00,1962.00,1582608048773
2.05,1963.00,1582608051809
2.02,1962.30,1582608054810
2.01,1962.20,1582608057804
2.05,1963.00,1582608060808
2.01,1962.10,1582608063808
2.05,1962.95,1582608066809
2.00,1962.00,1582608069803
2.01,1962.10,1582608072771
2.05,1963.00,1582608075803
2.08,1963.50,1582608078810
2.05,1963.00,1582608081808
2.06,1963.10,1582608084807
2.08,1963.50,1582608087808
2.05,1963.00,1582608090787
2.05,1963.00,1582608093808
2.05,1963.00,1582608096807
2.05,1963.00,1582608099808
2.05,1963.00,1582608102809
2.00,1962.05,1582608105771
2.05,1962.95,1582608108771
2.05,1962.95,1582608111807
2.01,1962.15,1582608114770
2.00,1962.05,1582608117775
2.00,1962.00,1582608120772
1.98,1961.65,1582608123808
1.94,1960.80,1582608126808
1.89,1959.95,1582608129797
1.85,1959.00,1582608132784
1.86,1959.30,1582608135787
1.89,1959.80,1582608138793
1.89,1959.95,1582608141770
1.91,1960.15,1582608144807
1.95,1961.00,1582608147805
1.95,1961.10,1582608150770
1.96,1961.25,1582608153768
1.98,1961.65,1582608156808
1.96,1961.25,1582608159807
1.96,1961.20,1582608162807
1.96,1961.20,1582608165787
1.99,1961.75,1582608168802
1.96,1961.20,1582608171806
1.99,1961.80,1582608174806
1.95,1961.05,1582608177768
1.96,1961.20,1582608180806
1.91,1960.15,1582608183807
1.95,1961.00,1582608186774
1.95,1961.00,1582608189804
1.91,1960.15,1582608192806
1.95,1961.00,1582608195805
1.95,1961.00,1582608198804
1.95,1961.00,1582608201805
1.96,1961.20,1582608204804
1.95,1961.05,1582608207806
1.97,1961.45,1582608210804
1.95,1961.00,1582608213785
1.99,1961.80,1582608216767
1.99,1961.80,1582608219771
2.00,1962.00,1582608222767
2.02,1962.35,1582608225786
2.00,1962.00,1582608228804
2.02,1962.45,1582608231765
2.05,1962.90,1582608234803
2.05,1962.85,1582608237805
2.05,1963.00,1582608240804
2.05,1962.95,1582608243803
2.01,1962.15,1582608246804
1.95,1961.00,1582608249799
2.03,1962.50,1582608252766
2.03,1962.50,1582608255802
2.03,1962.50,1582608258803
2.01,1962.20,1582608261801
2.00,1962.00,1582608264765
2.00,1962.00,1582608267803
2.00,1962.00,1582608270802
1.96,1961.15,1582608273801
1.97,1961.45,1582608276799
1.96,1961.20,1582608279802
2.00,1961.95,1582608282784
2.00,1961.95,1582608285803
1.97,1961.40,1582608288804
2.00,1961.95,1582608291804
2.00,1962.00,1582608294787
2.00,1961.95,1582608297801
1.97,1961.40,1582608300802
1.96,1961.25,1582608303801
2.00,1962.00,1582608306765
1.94,1960.85,1582608309801
1.95,1961.00,1582608312758
1.93,1960.60,1582608315803
1.95,1960.95,1582608318802
1.93,1960.60,1582608321796
1.95,1960.95,1582608324801
1.94,1960.85,1582608327800
1.94,1960.85,1582608330802
1.95,1960.95,1582608333795
1.95,1960.95,1582608336801
1.93,1960.60,1582608339802
1.89,1959.80,1582608342801
1.92,1960.50,1582608345757
1.92,1960.45,1582608348799
1.93,1960.55,1582608351801
1.93,1960.60,1582608354800
1.90,1960.00,1582608357796
1.90,1960.00,1582608360784
1.93,1960.60,1582608363775
1.91,1960.30,1582608366801
1.90,1960.05,1582608369786
1.93,1960.60,1582608372800
1.90,1960.05,1582608375765
1.93,1960.60,1582608378761
1.93,1960.60,1582608381798
1.90,1960.05,1582608384784
1.94,1960.85,1582608387800
1.92,1960.40,1582608390800
1.94,1960.85,1582608393773
1.94,1960.90,1582608396800
1.94,1960.90,1582608399798
1.94,1960.90,1582608402788
1.94,1960.90,1582608405771
1.94,1960.85,1582608408798
1.94,1960.85,1582608411799
1.94,1960.85,1582608413834
1.95,1961.00,1582608417797
1.94,1960.90,1582608420760
1.95,1961.00,1582608423793
1.99,1961.80,1582608426798
1.95,1961.00,1582608429759
1.99,1961.70,1582608432759
1.95,1961.00,1582608435759
1.95,1961.00,1582608438776
1.95,1961.00,1582608441792
1.95,1961.00,1582608444798
1.95,1961.10,1582608447797
2.00,1961.90,1582608450798
1.99,1961.70,1582608453763
2.00,1962.00,1582608456798
2.00,1962.00,1582608459795
1.95,1961.05,1582608462796
1.96,1961.15,1582608465796
1.95,1961.10,1582608468753
1.98,1961.50,1582608471795
1.96,1961.15,1582608474770
1.98,1961.50,1582608477797
2.00,1962.00,1582608480752
1.99,1961.70,1582608483796
1.99,1961.70,1582608486796
2.01,1962.25,1582608489764
2.01,1962.25,1582608492795
2.02,1962.40,1582608495758
2.03,1962.60,1582608498797
2.00,1962.00,1582608501772
1.99,1961.70,1582608504793
2.00,1962.00,1582608507792
2.00,1962.00,1582608510790
2.00,1962.00,1582608513795
2.00,1962.00,1582608516759
2.00,1962.00,1582608519752
2.00,1962.00,1582608522756
2.00,1962.00,1582608525753
2.00,1962.00,1582608528757
2.00,1962.00,1582608531795
2.04,1962.70,1582608534763
1.96,1961.20,1582608537757
1.97,1961.30,1582608540778
2.05,1962.90,1582608543773
2.05,1963.00,1582608546794
